Age_Ma,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
6.771631241,2539,43007,-4160,-970,53926,13601,3146424,7317,445,9021,93154,53743,571,892,115,3500,2082,120732,1764,5318,-1120,-790,340,258,1373023,2725,15960,3370,22285.0,159618
6.772368431,2162,42419,-3759,-690,54960,14060,3066239,7119,456,8643,97857,53002,540,847,127,3547,1771,122465,1673,5982,-924,-899,256,184,1367795,2510,16523,4270,22057.0,163617
6.773106575,2467,41899,-3641,-601,52159,14234,2989166,7152,609,8262,100869,52307,417,829,144,3521,1853,122356,1658,5793,-888,-895,422,376,1373125,2888,16879,3222,22517.0,166621
6.773844719,2599,43393,-3901,-1062,52234,13378,3005542,6698,407,7937,99802,49969,501,750,95,3511,1806,121682,2165,6102,-1885,-1885,325,332,1360711,2828,16206,3652,21299.0,165870
6.774582386,2635,43292,-3979,-1223,53676,13199,3081335,6570,247,7459,94677,51974,455,803,59,3641,2461,125116,1058,5722,-1128,-1221,346,295,1369154,2928,16629,2871,21904.0,160373
6.775320053,2718,44933,-3858,-760,55053,15133,3066056,7392,149,7521,102896,52208,448,800,114,3778,1725,130227,1463,5880,-1685,-1486,298,353,1366068,2633,16325,2822,22556.0,173072
6.776058197,2371,45674,-3631,-351,56443,14799,3129209,7183,129,7915,105207,53144,487,931,138,3909,1910,130713,1992,6051,-937,-1330,490,293,1364917,2508,17167,3770,23762.0,175234
6.776795864,2674,46195,-3878,-587,58111,15000,3128144,7562,147,8307,108574,51270,433,855,104,3604,2407,131940,1697,6298,-672,-971,268,155,1361928,2600,17251,2896,23840.0,180005
6.777533531,2738,47250,-3835,-954,59704,16011,3138753,7830,256,7896,111114,51884,502,894,191,3487,2111,132915,2424,6470,-1061,-1199,608,286,1363269,2606,16161,3620,24510.0,184943
6.778271198,2628,46323,-3972,-761,57001,15241,3113700,7649,389,7513,104438,54879,511,844,100,4077,2125,130860,1405,5891,-1296,-1290,332,216,1362861,3021,16487,3869,24647.0,176279
6.779009342,2715,44911,-3489,-884,60406,14938,3074669,7965,293,7345,103968,52868,448,896,42,3721,2408,130990,1968,6307,-1696,-1659,424,345,1363643,2392,16527,2919,24641.0,174497
6.779747486,2647,44398,-3971,-897,58972,14785,3020613,7593,688,7295,101045,51164,584,815,229,3753,1744,129490,2102,5391,-1896,-1941,292,372,1360574,2319,16369,3272,24436.0,170468
6.780484676,2781,45368,-3599,-904,58275,14227,2995961,7690,142,7810,104852,54143,513,803,146,3624,2111,127531,1914,5515,-1301,-1173,296,147,1354909,2757,16094,3730,24703.0,174918
